from_keyword_id,from_name,to_keyword_id,to_name,trip_count,sellable,status_code
5,Bangkok,1566,Wachirabarami Bus Terminal,0,False,error
5,Bangkok,1573,Phitsanulok Bus Terminal 1,0,False,error
5,Bangkok,1580,Phitsanulok Bus Terminal 2,0,False,error
5,Bangkok,1587,Phuket Bus Terminal 1,0,False,error
5,Bangkok,1594,Phuket Bus Terminal 2,0,False,error
5,Bangkok,1601,Maha Sarakham Bus Terminal,0,False,error
5,Bangkok,1608,Mukdahan Bus Terminal,0,False,error
5,Bangkok,1615,Yala Bus Terminal,0,False,error
5,Bangkok,1622,Yasothon Bus Terminal,0,False,error
5,Bangkok,1629,Phanom Phrai Bus Terminal,0,False,error
5,Bangkok,1636,Roi Et Bus Terminal,0,False,error
5,Bangkok,1643,Phon Thong Bus Terminal,0,False,error
5,Bangkok,1650,Suvarnabhumi Bus Terminal,0,False,error
5,Bangkok,1657,Ranong Bus Terminal,0,False,error
5,Bangkok,1664,Rayong Bus Terminal 2,0,False,error
5,Bangkok,1671,Rayong Bus Terminal 1,0,False,error
5,Bangkok,1678,Lampang Bus Terminal,0,False,error
5,Bangkok,1685,Lamphun Bus Terminal,0,False,error
5,Bangkok,1692,Sisaket Bus Terminal,0,False,error
5,Bangkok,1699,Sakon Nakhon Bus Terminal,0,False,error
5,Bangkok,1706,Hat Yai Bus Terminal 1,0,False,error
5,Bangkok,1720,Na Thawi Bus Terminal,0,False,error
5,Bangkok,1727,Songkhla Bus Terminal,0,False,error
5,Bangkok,1734,Satun Bus Terminal,0,False,error
5,Bangkok,1741,Saraburi Bus Terminal,0,False,error
5,Bangkok,1762,Sing Buri Bus Terminal,0,False,error
5,Bangkok,1769,Suphanburi Bus Terminal,0,False,error
5,Bangkok,1776,Suratthani Bus Terminal,0,False,error
5,Bangkok,1783,Surin Bus Terminal,0,False,error
5,Bangkok,1790,Sukhothai Bus Terminal,0,False,error
5,Bangkok,1797,Nong Khai Bus Terminal,0,False,error
5,Bangkok,1804,Nong Bua Lamphu Bus Terminal,0,False,error
5,Bangkok,1818,Amnat Charoen Bus Terminal,0,False,error
5,Bangkok,1825,Udon Thani Bus Terminal 2,0,False,error
5,Bangkok,1832,Kumphawapi Bus Terminal,0,False,error
5,Bangkok,1839,Uttaradit Bus Terminal,0,False,error
5,Bangkok,1846,Uthai Thani Bus Terminal,0,False,error
5,Bangkok,1853,Ubon Ratchathani Bus Terminal,0,False,error
5,Bangkok,1860,Chiang Rai Bus Terminal 2,0,False,error
5,Bangkok,1867,Thoeng Bus Terminal,0,False,error
5,Bangkok,1874,Mae Sai Bus Terminal,0,False,error
5,Bangkok,1888,Chiang Mai Bus Terminal 2 (Arcade),0,False,error
5,Bangkok,1902,Phetchabun Bus Terminal,0,False,error
5,Bangkok,1909,Lom Sak Bus Terminal,0,False,error
5,Bangkok,1916,Loei Bus Terminal,0,False,error
5,Bangkok,1923,Vientiane Bus Terminal,0,False,error
5,Bangkok,1930,Siem Reap Bus Terminal,0,False,error
5,Bangkok,1937,Phrae Bus Terminal,0,False,error
5,Bangkok,1958,Minibus Station Chatuchak (Mochit New Van Terminal),0,False,error
5,Bangkok,1972,Ban Mi,0,False,error
5,Bangkok,1979,Khok Samrong,0,False,error
5,Bangkok,1986,Nong Muang,0,False,error
5,Bangkok,1993,Kaeng Khoi,0,False,error
5,Bangkok,2028,Bang Pla Ma,0,False,error
5,Bangkok,2035,Sali,0,False,error
5,Bangkok,2042,Lat Bua Luang,0,False,error
5,Bangkok,2063,Lotus Bo win,0,False,error
5,Bangkok,2098,Ban Suan,0,False,error
5,Bangkok,2112,Nong Sam Sak,0,False,error
5,Bangkok,2119,Nong Ree,0,False,error
5,Bangkok,2126,Nong Prue,0,False,error
5,Bangkok,2133,Nong Chak,0,False,error
5,Bangkok,2147,Map Pu,0,False,error
5,Bangkok,2154,Hua Kunchae,0,False,error
5,Bangkok,2161,Ban Bueng,0,False,error
5,Bangkok,2168,Map Khla,0,False,error
5,Bangkok,2175,Saphansi,0,False,error
5,Bangkok,2203,Mabyangpon,0,False,error
5,Bangkok,2210,Lotus Pluekdeang,0,False,error
5,Bangkok,2217,Nong Bon (PTT Station),0,False,error
5,Bangkok,2224,Paree Villa,0,False,error
5,Bangkok,2231,Teuk Pad Chan,0,False,error
5,Bangkok,2238,Pattana Golf Club,0,False,error
5,Bangkok,2245,Rong Nam Tan,0,False,error
5,Bangkok,2252,Janyawat,0,False,error
5,Bangkok,2266,Apec,0,False,error
5,Bangkok,2273,Rungthong,0,False,error
5,Bangkok,2280,Benyapa,0,False,error
5,Bangkok,2287,Chun Wang,0,False,error
5,Bangkok,2294,Rong Tian,0,False,error
5,Bangkok,2301,Klong Klam,0,False,error
5,Bangkok,2308,Surasak,0,False,error
5,Bangkok,2322,LG Company,0,False,error
5,Bangkok,2329,Big Add,0,False,error
5,Bangkok,2336,Lignite Khlong Thom,0,False,error
5,Bangkok,2343,Lam Thap,0,False,error
